"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Sep 02 02:22:41 GMT 2024","Mon Sep 02 02:22:41 GMT 2024","0","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","B5-TYPES-PRELIM.15",""
"passed","Mon Sep 02 02:36:16 GMT 2024","Mon Sep 02 02:36:16 GMT 2024","0","","MATCH","","MATCH","","IMPLICATIONDIRECTINTRODUCTIONMATCHTEST.01",""
"passed","Mon Sep 02 02:30:40 GMT 2024","Mon Sep 02 02:30:40 GMT 2024","0","","HOL","","HOL","","NATPARITYTEST.01",""
"passed","Mon Sep 02 02:04:13 GMT 2024","Mon Sep 02 02:04:13 GMT 2024","0","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-4.03",""
"passed","Mon Sep 02 02:04:13 GMT 2024","Mon Sep 02 02:04:13 GMT 2024","0","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-3.04",""
"passed","Mon Sep 02 01:54:26 GMT 2024","Mon Sep 02 01:54:26 GMT 2024","0","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.01",""
"failed","Mon Sep 02 03:09:07 GMT 2024","Mon Sep 02 03:09:07 GMT 2024","0","","DISTRIBUTED-PROCESSING","","DISTRIBUTED-PROCESSING","","CREATE-SERVER.04",""
"failed","Mon Sep 02 02:19:33 GMT 2024","Mon Sep 02 02:19:33 GMT 2024","0","","STACK-BASED","","STACK-BASED","","REWRITES.03",""
"passed","Mon Sep 02 01:50:28 GMT 2024","Mon Sep 02 01:50:28 GMT 2024","0","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.03",""
"passed","Mon Sep 02 01:50:24 GMT 2024","Mon Sep 02 01:50:29 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.bc_comp",""
"passed","Mon Sep 02 02:36:01 GMT 2024","Mon Sep 02 02:36:01 GMT 2024","0","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.22",""
"passed","Mon Sep 02 02:27:02 GMT 2024","Mon Sep 02 02:27:02 GMT 2024","0","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.43",""
"passed","Mon Sep 02 02:45:53 GMT 2024","Mon Sep 02 02:45:53 GMT 2024","0","","EXPERIMENTS","","EXPERIMENTS","","SYNTHESIZE-VIA-TYPE-CHECKING.01",""
"passed","Mon Sep 02 02:27:56 GMT 2024","Mon Sep 02 02:27:56 GMT 2024","0","","TRUTHVALUE","","TRUTHVALUE","","TRUTHVALUETEST.05",""
"passed","Mon Sep 02 02:23:00 GMT 2024","Mon Sep 02 02:23:00 GMT 2024","0","","CHECK-TYPES","","CHECK-TYPES","","D1-GADT.06",""
"passed","Mon Sep 02 01:50:24 GMT 2024","Mon Sep 02 01:50:31 GMT 2024","7000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.tmpMatch2",""
"failed","Mon Sep 02 02:30:21 GMT 2024","Mon Sep 02 02:30:21 GMT 2024","0","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.05",""
"passed","Mon Sep 02 02:45:53 GMT 2024","Mon Sep 02 02:45:53 GMT 2024","0","","EXPERIMENTS","","EXPERIMENTS","","SYNTHESIZE-VIA-TYPE-CHECKING.10",""
"passed","Mon Sep 02 02:27:50 GMT 2024","Mon Sep 02 02:27:50 GMT 2024","0","","FORMULA","","FORMULA","","DEDUCTIONFORMULATEST.12",""
"failed","Mon Sep 02 02:04:13 GMT 2024","Mon Sep 02 02:04:13 GMT 2024","0","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-3-2.02",""
"passed","Mon Sep 02 02:28:06 GMT 2024","Mon Sep 02 02:28:06 GMT 2024","0","","CURRIED-CHAINING","","CURRIED-CHAINING","","CURRIED-CHAINER.01",""
"failed","Mon Sep 02 02:20:26 GMT 2024","Mon Sep 02 02:20:26 GMT 2024","0","","TRAVERSER","","TRAVERSER","","BASIC.12",""
