"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 03 03:04:43 GMT 2024","Tue Sep 03 03:04:43 GMT 2024","0","","DIRECT-COMP","","DIRECT-COMP","","00A-LANG-COMPILED-CASE.08",""
"failed","Tue Sep 03 02:27:46 GMT 2024","Tue Sep 03 02:27:46 GMT 2024","0","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.28",""
"passed","Tue Sep 03 01:49:30 GMT 2024","Tue Sep 03 01:49:30 GMT 2024","0","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","00-LANG-CASE.06",""
"failed","Tue Sep 03 02:27:46 GMT 2024","Tue Sep 03 02:27:46 GMT 2024","0","","FORWARD-CHAINER","","FORWARD-CHAINER","","FORWARD-CHAINER-XP.13",""
"passed","Tue Sep 03 02:13:27 GMT 2024","Tue Sep 03 02:13:27 GMT 2024","0","","PROB-DEP-TYPES","","PROB-DEP-TYPES","","PROB-DEP-TYPES.03",""
"failed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:48:37 GMT 2024","46000","","WHOLE-TESTS","","WHOLE-TESTS","","dependent-types.DeductionImplicationDirectIntroductionDTLTest",""
"passed","Tue Sep 03 01:49:47 GMT 2024","Tue Sep 03 01:49:47 GMT 2024","0","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","TYPES2.01",""
"passed","Tue Sep 03 01:49:47 GMT 2024","Tue Sep 03 01:49:47 GMT 2024","0","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SUPERCOLLAPSE.02",""
"passed","Tue Sep 03 01:49:30 GMT 2024","Tue Sep 03 01:49:30 GMT 2024","0","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","03-SORING-VIA-INSERT.01",""
"passed","Tue Sep 03 03:08:33 GMT 2024","Tue Sep 03 03:08:33 GMT 2024","0","","BASIC","","BASIC","","CML-UNSHARED.05",""
"passed","Tue Sep 03 01:49:47 GMT 2024","Tue Sep 03 01:49:47 GMT 2024","0","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SUPERCOLLAPSE.07",""
"passed","Tue Sep 03 02:41:11 GMT 2024","Tue Sep 03 02:41:11 GMT 2024","0","","POLYWARD-CHAINING","","POLYWARD-CHAINING","","PC-XP.11",""
"passed","Tue Sep 03 01:49:30 GMT 2024","Tue Sep 03 01:49:30 GMT 2024","0","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","00-LANG-CASE.15",""
"passed","Tue Sep 03 01:47:56 GMT 2024","Tue Sep 03 01:47:56 GMT 2024","0","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.27",""
"passed","Tue Sep 03 01:47:56 GMT 2024","Tue Sep 03 01:47:56 GMT 2024","0","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.23",""
"passed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:47:55 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.a1_symbols",""
"passed","Tue Sep 03 03:08:33 GMT 2024","Tue Sep 03 03:08:33 GMT 2024","0","","BASIC","","BASIC","","KEY-LOOKUPS-MANY.02",""
"passed","Tue Sep 03 02:01:38 GMT 2024","Tue Sep 03 02:01:38 GMT 2024","0","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-3.26",""
"passed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:47:56 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.d1_gadt",""
"passed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:47:56 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","chaining.parent_go_comp",""
"passed","Tue Sep 03 02:46:49 GMT 2024","Tue Sep 03 02:46:49 GMT 2024","0","","STRIPS-TO-METTA-IMPROVED","","STRIPS-TO-METTA-IMPROVED","","QUERIES.01",""
"failed","Tue Sep 03 02:01:38 GMT 2024","Tue Sep 03 02:01:38 GMT 2024","0","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-3.08",""
"failed","Tue Sep 03 02:33:27 GMT 2024","Tue Sep 03 02:33:27 GMT 2024","0","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.20",""
"failed","Tue Sep 03 02:20:21 GMT 2024","Tue Sep 03 02:20:21 GMT 2024","0","","CHECK-TYPES","","CHECK-TYPES","","D5-AUTO-TYPES.04",""
"passed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:47:55 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","check_types.d3_deptypes",""
"failed","Tue Sep 03 02:28:05 GMT 2024","Tue Sep 03 02:28:05 GMT 2024","0","","HOL","","HOL","","NATSTANDALONETEST.12",""
